name,combined_features
Counter-Strike,Action Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled Action;FPS;Multiplayer
Team Fortress Classic,Action Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled Action;FPS;Multiplayer
Day of Defeat,Action Multi-player;Valve Anti-Cheat enabled FPS;World War II;Multiplayer
Deathmatch Classic,Action Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled Action;FPS;Multiplayer
Half-Life: Opposing Force,Action Single-player;Multi-player;Valve Anti-Cheat enabled FPS;Action;Sci-fi
Ricochet,Action Multi-player;Online Multi-Player;Valve Anti-Cheat enabled Action;FPS;Multiplayer
Half-Life,Action Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled FPS;Classic;Action
Counter-Strike: Condition Zero,Action Single-player;Multi-player;Valve Anti-Cheat enabled Action;FPS;Multiplayer
Half-Life: Blue Shift,Action Single-player FPS;Action;Sci-fi
Half-Life 2,Action Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK FPS;Action;Sci-fi
Counter-Strike: Source,Action Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK Action;FPS;Multiplayer
Half-Life: Source,Action Single-player FPS;Action;Sci-fi
Day of Defeat: Source,Action Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK FPS;World War II;Multiplayer
Half-Life 2: Deathmatch,Action Multi-player;Valve Anti-Cheat enabled;Includes Source SDK Action;FPS;Multiplayer
Half-Life 2: Lost Coast,Action Single-player;Commentary available FPS;Action;Singleplayer
Half-Life Deathmatch: Source,Action Multi-player;Valve Anti-Cheat enabled Action;FPS;Multiplayer
Half-Life 2: Episode One,Action Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available FPS;Action;Sci-fi
Portal,Action Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available Puzzle;First-Person;Singleplayer
Half-Life 2: Episode Two,Action Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available FPS;Action;Sci-fi
Team Fortress 2,Action;Free to Play Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available Free to Play;Multiplayer;FPS
Left 4 Dead,Action Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available Zombies;Co-op;FPS
Left 4 Dead 2,Action Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available Zombies;Co-op;FPS
Dota 2,Action;Free to Play;Strategy Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled Free to Play;MOBA;Strategy
Portal 2,Action;Adventure Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available Puzzle;Co-op;First-Person
Alien Swarm,Action Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor Free to Play;Co-op;Action
Counter-Strike: Global Offensive,Action;Free to Play Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats FPS;Multiplayer;Shooter
Rag Doll Kung Fu,Indie Single-player;Multi-player Indie;Fighting;Multiplayer
Red Orchestra: Ostfront 41-45,Action Multi-player;Steam Achievements;Valve Anti-Cheat enabled World War II;Action;FPS
Killing Floor,Action Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor FPS;Zombies;Co-op
SiN Episodes: Emergence,Action Single-player;Stats Action;FPS;Cyberpunk
Darwinia,Indie;Strategy Single-player Strategy;Indie;RTS
Uplink,Indie;Strategy Single-player Hacking;Indie;Strategy
DEFCON,Indie;Strategy Single-player;Multi-player Strategy;Indie;Multiplayer
Multiwinia,Indie Single-player;Multi-player;Steam Achievements Indie;RTS;Strategy
Dangerous Waters,Strategy Single-player;Multi-player Strategy;Simulation;Naval
Space Empires IV Deluxe,Strategy Single-player;Multi-player Strategy;4X;Sci-fi
Disciples II: Rise of the Elves ,Strategy Single-player;Multi-player;Co-op Strategy;Turn-Based Strategy;Fantasy
Disciples II: Gallean's Return,Strategy Single-player;Multi-player;Co-op Turn-Based Strategy;Strategy;Classic
Iron Warriors: T - 72 Tank Command ,Strategy Single-player;Multi-player Simulation;Strategy;Tanks
Space Empires V,Strategy Single-player;Multi-player Strategy;4X;Space
Arx Fatalis,RPG Single-player RPG;First-Person;Classic
Source Filmmaker,Animation & Modeling;Video Production Steam Workshop Animation & Modeling;Video Production;Free to Play
Earth 2160,Strategy Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards Strategy;RTS;Sci-fi
